communication_id,customer_id,client_id,sent_date,channel,message_type,ab_test_group,message_tone,delivered_flag,opened_or_clicked_flag,days_after_upload
COMM0005596,DCUST002909,DSC010,2023-02-15,SMS,Initial Invite,Not Applicable,Informational,1,0,0
COMM0005597,DCUST002909,DSC010,2023-03-01,SMS,Reminder 1,Not Applicable,Supportive,1,0,14
COMM0005598,DCUST002910,DSC005,2022-10-07,Email,Initial Invite,Not Applicable,Supportive,1,0,2
COMM0005599,DCUST002910,DSC005,2022-10-09,SMS,Reminder 1,Not Applicable,Supportive,1,0,4
COMM0005600,DCUST002911,DSC007,2023-02-10,Email,Initial Invite,Not Applicable,Informational,1,0,0
COMM0005601,DCUST002911,DSC007,2023-02-17,SMS,Reminder 1,Variant,Supportive,1,0,7
COMM0005602,DCUST002911,DSC007,2023-03-06,Email,Reminder 2,Not Applicable,Direct,1,0,24
COMM0005603,DCUST002911,DSC007,2023-03-04,SMS,Agent Follow-up,Variant,Supportive,1,0,22
COMM0005604,DCUST002912,DSC001,2022-06-16,SMS,Initial Invite,Not Applicable,Informational,1,0,2
COMM0005605,DCUST002912,DSC001,2022-06-27,SMS,Reminder 1,Not Applicable,Supportive,1,0,13
COMM0005606,DCUST002912,DSC001,2022-06-30,Agent Referral,Reminder 2,Not Applicable,Agent-Assisted,1,0,16
COMM0005607,DCUST002913,DSC001,2023-02-23,SMS,Initial Invite,Control,Direct,1,1,0
COMM0005608,DCUST002913,DSC001,2023-03-03,Email,Reminder 1,Not Applicable,Informational,1,1,8
COMM0005609,DCUST002914,DSC002,2022-08-22,SMS,Initial Invite,Not Applicable,Supportive,1,1,2
COMM0005610,DCUST002914,DSC002,2022-08-27,Email,Reminder 1,Not Applicable,Supportive,1,0,7
COMM0005611,DCUST002915,DSC002,2022-06-07,SMS,Initial Invite,Not Applicable,Informational,1,0,1
COMM0005612,DCUST002916,DSC001,2022-07-20,SMS,Initial Invite,Not Applicable,Supportive,1,0,1
COMM0005613,DCUST002916,DSC001,2022-07-25,Email,Reminder 1,Not Applicable,Informational,1,1,6
COMM0005614,DCUST002917,DSC007,2022-11-23,Letter,Initial Invite,Not Applicable,Informational,1,0,2
COMM0005615,DCUST002918,DSC002,2023-05-23,SMS,Initial Invite,Not Applicable,Direct,1,1,0
COMM0005616,DCUST002919,DSC010,2023-02-03,SMS,Initial Invite,Not Applicable,Direct,1,1,0
COMM0005617,DCUST002920,DSC004,2022-07-15,Letter,Initial Invite,Not Applicable,Informational,1,0,2
COMM0005618,DCUST002920,DSC004,2022-07-26,Email,Reminder 1,Not Applicable,Informational,1,0,13
COMM0005619,DCUST002920,DSC004,2022-07-23,SMS,Reminder 2,Not Applicable,Informational,1,0,10
COMM0005620,DCUST002921,DSC009,2023-01-19,Letter,Initial Invite,Not Applicable,Informational,1,1,2
COMM0005621,DCUST002921,DSC009,2023-01-28,SMS,Reminder 1,Control,Direct,1,0,11
COMM0005622,DCUST002922,DSC003,2022-11-23,SMS,Initial Invite,Not Applicable,Supportive,1,0,1
COMM0005623,DCUST002922,DSC003,2022-11-29,Email,Reminder 1,Not Applicable,Direct,1,0,7
COMM0005624,DCUST002922,DSC003,2022-12-12,Letter,Reminder 2,Not Applicable,Informational,1,0,20
COMM0005625,DCUST002923,DSC005,2022-11-07,SMS,Initial Invite,Not Applicable,Supportive,1,0,0
COMM0005626,DCUST002923,DSC005,2022-11-16,SMS,Reminder 1,Not Applicable,Direct,1,1,9
COMM0005627,DCUST002923,DSC005,2022-11-27,Agent Referral,Reminder 2,Not Applicable,Agent-Assisted,1,1,20
COMM0005628,DCUST002924,DSC005,2022-07-20,Email,Initial Invite,Not Applicable,Informational,1,0,2
COMM0005629,DCUST002925,DSC003,2022-08-05,SMS,Initial Invite,Not Applicable,Direct,1,0,1
COMM0005630,DCUST002925,DSC003,2022-08-15,SMS,Reminder 1,Not Applicable,Supportive,1,0,11
COMM0005631,DCUST002926,DSC005,2023-02-28,SMS,Initial Invite,Variant,Supportive,1,0,0
COMM0005632,DCUST002927,DSC003,2022-08-20,SMS,Initial Invite,Not Applicable,Direct,1,0,0
COMM0005633,DCUST002927,DSC003,2022-08-28,SMS,Reminder 1,Not Applicable,Supportive,0,0,8
COMM0005634,DCUST002927,DSC003,2022-09-04,SMS,Reminder 2,Not Applicable,Supportive,1,0,15
COMM0005635,DCUST002928,DSC001,2023-01-19,SMS,Initial Invite,Not Applicable,Supportive,1,1,0
COMM0005636,DCUST002928,DSC001,2023-01-27,Email,Reminder 1,Not Applicable,Informational,1,0,8
COMM0005637,DCUST002929,DSC010,2022-10-09,SMS,Initial Invite,Not Applicable,Direct,1,0,0
COMM0005638,DCUST002930,DSC001,2022-11-06,SMS,Initial Invite,Not Applicable,Supportive,1,0,0
COMM0005639,DCUST002930,DSC001,2022-11-20,SMS,Reminder 1,Not Applicable,Supportive,1,0,14
COMM0005640,DCUST002930,DSC001,2022-11-30,Agent Referral,Reminder 2,Not Applicable,Agent-Assisted,1,0,24
COMM0005641,DCUST002931,DSC002,2023-03-07,SMS,Initial Invite,Variant,Supportive,1,0,2
COMM0005642,DCUST002932,DSC001,2022-07-07,Email,Initial Invite,Not Applicable,Informational,1,1,0
COMM0005643,DCUST002932,DSC001,2022-07-18,Email,Reminder 1,Not Applicable,Informational,1,0,11
COMM0005644,DCUST002933,DSC006,2022-09-18,SMS,Initial Invite,Not Applicable,Direct,1,0,1
COMM0005645,DCUST002934,DSC004,2022-10-21,Email,Initial Invite,Not Applicable,Direct,1,0,0
COMM0005646,DCUST002934,DSC004,2022-10-30,SMS,Reminder 1,Not Applicable,Informational,1,0,9
COMM0005647,DCUST002934,DSC004,2022-11-14,Letter,Reminder 2,Not Applicable,Informational,1,0,24
COMM0005648,DCUST002935,DSC006,2023-03-09,Email,Initial Invite,Not Applicable,Direct,1,0,0
COMM0005649,DCUST002935,DSC006,2023-03-21,SMS,Reminder 1,Control,Direct,1,0,12
COMM0005650,DCUST002936,DSC008,2022-10-08,SMS,Initial Invite,Not Applicable,Supportive,1,1,2
COMM0005651,DCUST002937,DSC003,2022-12-15,Email,Initial Invite,Not Applicable,Supportive,1,0,1
COMM0005652,DCUST002937,DSC003,2022-12-26,SMS,Reminder 1,Not Applicable,Supportive,1,1,12
COMM0005653,DCUST002938,DSC003,2023-01-26,Email,Initial Invite,Not Applicable,Informational,1,1,0
COMM0005654,DCUST002938,DSC003,2023-02-02,SMS,Reminder 1,Control,Direct,1,0,7
COMM0005655,DCUST002938,DSC003,2023-02-11,Letter,Reminder 2,Not Applicable,Informational,1,0,16
COMM0005656,DCUST002939,DSC006,2022-08-29,SMS,Initial Invite,Not Applicable,Direct,1,0,0
COMM0005657,DCUST002939,DSC006,2022-09-04,SMS,Reminder 1,Not Applicable,Supportive,1,0,6
COMM0005658,DCUST002940,DSC003,2022-07-18,SMS,Initial Invite,Not Applicable,Direct,1,0,2
COMM0005659,DCUST002940,DSC003,2022-07-22,Letter,Reminder 1,Not Applicable,Informational,1,0,6
COMM0005660,DCUST002940,DSC003,2022-07-26,Agent Referral,Reminder 2,Not Applicable,Agent-Assisted,1,0,10
COMM0005661,DCUST002941,DSC001,2023-01-23,Letter,Initial Invite,Not Applicable,Informational,1,0,1
COMM0005662,DCUST002942,DSC009,2022-07-17,SMS,Initial Invite,Not Applicable,Direct,1,0,0
COMM0005663,DCUST002943,DSC006,2022-08-19,SMS,Initial Invite,Not Applicable,Direct,1,0,0
COMM0005664,DCUST002943,DSC006,2022-08-29,SMS,Reminder 1,Not Applicable,Direct,1,0,10
COMM0005665,DCUST002944,DSC002,2022-08-29,SMS,Initial Invite,Not Applicable,Direct,1,0,0
COMM0005666,DCUST002945,DSC009,2023-01-31,Letter,Initial Invite,Not Applicable,Informational,1,0,1
COMM0005667,DCUST002945,DSC009,2023-02-07,SMS,Reminder 1,Variant,Supportive,1,0,8
COMM0005668,DCUST002946,DSC008,2023-01-30,SMS,Initial Invite,Control,Direct,1,0,0
COMM0005669,DCUST002947,DSC001,2022-09-27,Email,Initial Invite,Not Applicable,Supportive,1,0,0
COMM0005670,DCUST002948,DSC006,2022-07-24,Email,Initial Invite,Not Applicable,Direct,1,0,1
COMM0005671,DCUST002948,DSC006,2022-07-31,SMS,Reminder 1,Not Applicable,Direct,1,0,8
COMM0005672,DCUST002948,DSC006,2022-08-12,Email,Reminder 2,Not Applicable,Supportive,0,0,20
COMM0005673,DCUST002949,DSC006,2022-06-27,Email,Initial Invite,Not Applicable,Supportive,1,0,2
COMM0005674,DCUST002949,DSC006,2022-06-29,SMS,Reminder 1,Not Applicable,Informational,1,1,4
COMM0005675,DCUST002949,DSC006,2022-07-17,SMS,Reminder 2,Not Applicable,Supportive,1,0,22
COMM0005676,DCUST002949,DSC006,2022-07-31,Agent Referral,Agent Follow-up,Not Applicable,Agent-Assisted,1,0,36
COMM0005677,DCUST002950,DSC002,2022-10-22,Letter,Initial Invite,Not Applicable,Informational,1,0,0
COMM0005678,DCUST002951,DSC003,2023-01-10,SMS,Initial Invite,Variant,Supportive,1,0,1
COMM0005679,DCUST002951,DSC003,2023-01-18,SMS,Reminder 1,Control,Direct,1,0,9
COMM0005680,DCUST002952,DSC001,2023-01-09,SMS,Initial Invite,Control,Direct,1,1,1
COMM0005681,DCUST002952,DSC001,2023-01-13,SMS,Reminder 1,Variant,Supportive,1,0,5
COMM0005682,DCUST002953,DSC009,2023-02-14,SMS,Initial Invite,Control,Direct,1,1,1
COMM0005683,DCUST002953,DSC009,2023-02-20,Email,Reminder 1,Not Applicable,Informational,1,0,7
COMM0005684,DCUST002953,DSC009,2023-03-01,SMS,Reminder 2,Control,Direct,1,0,16
COMM0005685,DCUST002954,DSC006,2022-11-23,SMS,Initial Invite,Not Applicable,Direct,1,0,0
COMM0005686,DCUST002954,DSC006,2022-12-02,Email,Reminder 1,Not Applicable,Informational,1,0,9
COMM0005687,DCUST002955,DSC004,2022-12-02,SMS,Initial Invite,Not Applicable,Supportive,1,0,1
COMM0005688,DCUST002955,DSC004,2022-12-14,SMS,Reminder 1,Not Applicable,Direct,1,0,13
COMM0005689,DCUST002956,DSC007,2022-06-08,SMS,Initial Invite,Not Applicable,Direct,1,1,2
COMM0005690,DCUST002956,DSC007,2022-06-11,SMS,Reminder 1,Not Applicable,Supportive,1,0,5
COMM0005691,DCUST002957,DSC008,2022-07-27,Email,Initial Invite,Not Applicable,Supportive,1,0,0
COMM0005692,DCUST002957,DSC008,2022-08-09,Email,Reminder 1,Not Applicable,Direct,1,0,13
COMM0005693,DCUST002957,DSC008,2022-08-06,Agent Referral,Reminder 2,Not Applicable,Agent-Assisted,1,0,10
COMM0005694,DCUST002957,DSC008,2022-08-25,Agent Referral,Agent Follow-up,Not Applicable,Agent-Assisted,1,1,29
COMM0005695,DCUST002958,DSC010,2022-12-21,SMS,Initial Invite,Not Applicable,Direct,1,1,0
COMM0005696,DCUST002959,DSC009,2022-11-10,SMS,Initial Invite,Not Applicable,Supportive,1,0,2
COMM0005697,DCUST002959,DSC009,2022-11-20,SMS,Reminder 1,Not Applicable,Direct,1,0,12
COMM0005698,DCUST002959,DSC009,2022-12-02,Email,Reminder 2,Not Applicable,Informational,1,0,24
COMM0005699,DCUST002960,DSC005,2022-08-26,SMS,Initial Invite,Not Applicable,Direct,1,0,1
COMM0005700,DCUST002960,DSC005,2022-09-04,SMS,Reminder 1,Not Applicable,Direct,1,0,10
COMM0005701,DCUST002961,DSC001,2022-08-20,SMS,Initial Invite,Not Applicable,Informational,1,0,1
COMM0005702,DCUST002962,DSC005,2023-01-26,SMS,Initial Invite,Control,Direct,1,0,0
COMM0005703,DCUST002962,DSC005,2023-02-02,SMS,Reminder 1,Control,Direct,1,0,7
COMM0005704,DCUST002962,DSC005,2023-02-05,Letter,Reminder 2,Not Applicable,Informational,1,0,10
COMM0005705,DCUST002963,DSC001,2022-10-22,SMS,Initial Invite,Not Applicable,Informational,0,0,0
COMM0005706,DCUST002963,DSC001,2022-10-30,Email,Reminder 1,Not Applicable,Direct,1,1,8
COMM0005707,DCUST002963,DSC001,2022-11-16,Letter,Reminder 2,Not Applicable,Informational,1,0,25
COMM0005708,DCUST002964,DSC004,2023-05-03,Email,Initial Invite,Not Applicable,Informational,1,0,2
COMM0005709,DCUST002964,DSC004,2023-05-09,SMS,Reminder 1,Not Applicable,Supportive,1,0,8
COMM0005710,DCUST002965,DSC001,2022-08-04,Email,Initial Invite,Not Applicable,Direct,1,0,2
COMM0005711,DCUST002965,DSC001,2022-08-11,Email,Reminder 1,Not Applicable,Direct,1,0,9
COMM0005712,DCUST002966,DSC004,2023-05-23,SMS,Initial Invite,Not Applicable,Direct,1,0,1
COMM0005713,DCUST002967,DSC002,2022-12-19,Email,Initial Invite,Not Applicable,Informational,1,0,2
COMM0005714,DCUST002967,DSC002,2022-12-26,SMS,Reminder 1,Not Applicable,Direct,1,0,9
COMM0005715,DCUST002968,DSC001,2023-03-06,SMS,Initial Invite,Control,Direct,1,1,2
COMM0005716,DCUST002968,DSC001,2023-03-13,SMS,Reminder 1,Control,Direct,1,0,9
COMM0005717,DCUST002969,DSC006,2022-10-24,Email,Initial Invite,Not Applicable,Supportive,1,1,0
COMM0005718,DCUST002970,DSC003,2022-10-16,Email,Initial Invite,Not Applicable,Direct,0,0,1
COMM0005719,DCUST002970,DSC003,2022-10-29,SMS,Reminder 1,Not Applicable,Direct,1,0,14
COMM0005720,DCUST002971,DSC004,2023-05-21,SMS,Initial Invite,Not Applicable,Informational,1,0,2
COMM0005721,DCUST002972,DSC009,2022-10-04,SMS,Initial Invite,Not Applicable,Informational,1,1,1
COMM0005722,DCUST002972,DSC009,2022-10-10,SMS,Reminder 1,Not Applicable,Informational,1,0,7
COMM0005723,DCUST002972,DSC009,2022-10-20,Email,Reminder 2,Not Applicable,Informational,1,0,17
COMM0005724,DCUST002973,DSC001,2023-01-17,Email,Initial Invite,Not Applicable,Direct,1,0,2
COMM0005725,DCUST002974,DSC010,2022-09-08,SMS,Initial Invite,Not Applicable,Direct,1,1,0
COMM0005726,DCUST002974,DSC010,2022-09-21,SMS,Reminder 1,Not Applicable,Supportive,1,0,13
COMM0005727,DCUST002975,DSC004,2022-09-16,SMS,Initial Invite,Not Applicable,Supportive,1,0,0
COMM0005728,DCUST002975,DSC004,2022-09-24,Email,Reminder 1,Not Applicable,Direct,1,1,8
COMM0005729,DCUST002976,DSC005,2023-01-22,SMS,Initial Invite,Variant,Supportive,1,0,0
COMM0005730,DCUST002976,DSC005,2023-01-29,Letter,Reminder 1,Not Applicable,Informational,1,0,7
COMM0005731,DCUST002976,DSC005,2023-02-16,SMS,Reminder 2,Variant,Supportive,1,1,25
COMM0005732,DCUST002977,DSC002,2022-06-10,Email,Initial Invite,Not Applicable,Direct,1,0,1
COMM0005733,DCUST002977,DSC002,2022-06-15,Email,Reminder 1,Not Applicable,Informational,1,0,6
COMM0005734,DCUST002977,DSC002,2022-06-19,Agent Referral,Reminder 2,Not Applicable,Agent-Assisted,1,1,10
COMM0005735,DCUST002978,DSC006,2022-12-24,SMS,Initial Invite,Not Applicable,Direct,1,0,0
COMM0005736,DCUST002979,DSC003,2023-03-13,Letter,Initial Invite,Not Applicable,Informational,1,0,0
COMM0005737,DCUST002980,DSC007,2022-11-18,SMS,Initial Invite,Not Applicable,Direct,1,0,1
COMM0005738,DCUST002981,DSC004,2022-11-12,Letter,Initial Invite,Not Applicable,Informational,1,1,0
COMM0005739,DCUST002981,DSC004,2022-11-18,SMS,Reminder 1,Not Applicable,Direct,1,0,6
COMM0005740,DCUST002982,DSC002,2022-09-09,SMS,Initial Invite,Not Applicable,Supportive,0,0,2
COMM0005741,DCUST002982,DSC002,2022-09-12,SMS,Reminder 1,Not Applicable,Direct,1,0,5
COMM0005742,DCUST002983,DSC005,2023-03-02,SMS,Initial Invite,Variant,Supportive,1,1,0
COMM0005743,DCUST002984,DSC010,2023-04-02,SMS,Initial Invite,Not Applicable,Informational,1,0,1
COMM0005744,DCUST002984,DSC010,2023-04-11,Letter,Reminder 1,Not Applicable,Informational,1,0,10
COMM0005745,DCUST002984,DSC010,2023-04-11,Letter,Reminder 2,Not Applicable,Informational,1,1,10
COMM0005746,DCUST002985,DSC010,2023-01-04,SMS,Initial Invite,Variant,Supportive,1,1,2
COMM0005747,DCUST002986,DSC004,2022-09-18,SMS,Initial Invite,Not Applicable,Direct,1,1,1
COMM0005748,DCUST002987,DSC003,2022-09-20,Letter,Initial Invite,Not Applicable,Informational,0,0,0
COMM0005749,DCUST002987,DSC003,2022-09-28,Email,Reminder 1,Not Applicable,Supportive,0,0,8
COMM0005750,DCUST002988,DSC008,2023-02-09,Email,Initial Invite,Not Applicable,Informational,0,0,2
COMM0005751,DCUST002988,DSC008,2023-02-19,SMS,Reminder 1,Variant,Supportive,1,0,12
COMM0005752,DCUST002988,DSC008,2023-02-25,Agent Referral,Reminder 2,Not Applicable,Agent-Assisted,1,0,18
COMM0005753,DCUST002989,DSC003,2023-01-17,SMS,Initial Invite,Control,Direct,1,0,1
COMM0005754,DCUST002989,DSC003,2023-01-22,SMS,Reminder 1,Variant,Supportive,1,0,6
COMM0005755,DCUST002989,DSC003,2023-02-01,Letter,Reminder 2,Not Applicable,Informational,1,0,16
COMM0005756,DCUST002990,DSC006,2023-01-14,Email,Initial Invite,Not Applicable,Informational,1,1,2
COMM0005757,DCUST002990,DSC006,2023-01-17,SMS,Reminder 1,Variant,Supportive,1,1,5
COMM0005758,DCUST002990,DSC006,2023-01-31,Letter,Reminder 2,Not Applicable,Informational,1,0,19
COMM0005759,DCUST002991,DSC007,2023-03-14,SMS,Initial Invite,Variant,Supportive,1,1,0
COMM0005760,DCUST002992,DSC001,2023-04-14,Email,Initial Invite,Not Applicable,Supportive,1,1,0
COMM0005761,DCUST002992,DSC001,2023-04-20,SMS,Reminder 1,Not Applicable,Supportive,1,1,6
COMM0005762,DCUST002993,DSC003,2022-11-01,SMS,Initial Invite,Not Applicable,Informational,1,0,1
COMM0005763,DCUST002993,DSC003,2022-11-07,Email,Reminder 1,Not Applicable,Direct,1,0,7
COMM0005764,DCUST002994,DSC002,2023-01-13,Email,Initial Invite,Not Applicable,Supportive,0,0,0
COMM0005765,DCUST002994,DSC002,2023-01-20,SMS,Reminder 1,Variant,Supportive,1,1,7
COMM0005766,DCUST002995,DSC001,2022-09-12,SMS,Initial Invite,Not Applicable,Supportive,1,0,1
COMM0005767,DCUST002995,DSC001,2022-09-23,Email,Reminder 1,Not Applicable,Supportive,0,0,12
COMM0005768,DCUST002996,DSC001,2022-12-06,SMS,Initial Invite,Not Applicable,Direct,1,0,1
COMM0005769,DCUST002996,DSC001,2022-12-15,SMS,Reminder 1,Not Applicable,Supportive,1,0,10
COMM0005770,DCUST002997,DSC002,2022-09-06,SMS,Initial Invite,Not Applicable,Informational,1,0,1
COMM0005771,DCUST002998,DSC004,2023-05-11,Letter,Initial Invite,Not Applicable,Informational,1,0,0
COMM0005772,DCUST002999,DSC001,2023-05-16,SMS,Initial Invite,Not Applicable,Informational,1,0,1
COMM0005773,DCUST003000,DSC008,2023-02-22,SMS,Initial Invite,Variant,Supportive,1,0,0
COMM0005774,DCUST003001,DSC004,2023-01-02,SMS,Initial Invite,Variant,Supportive,1,0,2
COMM0005775,DCUST003002,DSC004,2023-03-02,Email,Initial Invite,Not Applicable,Supportive,1,0,0
COMM0005776,DCUST003002,DSC004,2023-03-07,Letter,Reminder 1,Not Applicable,Informational,1,0,5
COMM0005777,DCUST003003,DSC005,2022-10-10,SMS,Initial Invite,Not Applicable,Supportive,1,0,2
COMM0005778,DCUST003004,DSC001,2022-07-05,SMS,Initial Invite,Not Applicable,Direct,0,0,0
COMM0005779,DCUST003005,DSC005,2022-12-31,SMS,Initial Invite,Not Applicable,Informational,1,0,2
COMM0005780,DCUST003005,DSC005,2023-01-07,SMS,Reminder 1,Variant,Supportive,1,1,9
COMM0005781,DCUST003005,DSC005,2023-01-17,SMS,Reminder 2,Variant,Supportive,1,1,19
COMM0005782,DCUST003006,DSC008,2022-10-14,SMS,Initial Invite,Not Applicable,Direct,1,0,1
COMM0005783,DCUST003006,DSC008,2022-10-18,SMS,Reminder 1,Not Applicable,Supportive,1,0,5
COMM0005784,DCUST003007,DSC006,2023-02-22,Letter,Initial Invite,Not Applicable,Informational,1,0,0
COMM0005785,DCUST003007,DSC006,2023-02-27,Letter,Reminder 1,Not Applicable,Informational,1,0,5
COMM0005786,DCUST003007,DSC006,2023-03-14,Letter,Reminder 2,Not Applicable,Informational,1,0,20
COMM0005787,DCUST003008,DSC001,2023-02-03,SMS,Initial Invite,Control,Direct,1,1,2
COMM0005788,DCUST003008,DSC001,2023-02-14,Letter,Reminder 1,Not Applicable,Informational,1,1,13
COMM0005789,DCUST003009,DSC007,2022-09-24,SMS,Initial Invite,Not Applicable,Supportive,0,0,1
COMM0005790,DCUST003009,DSC007,2022-09-29,Email,Reminder 1,Not Applicable,Informational,1,0,6
COMM0005791,DCUST003009,DSC007,2022-10-07,SMS,Reminder 2,Not Applicable,Informational,1,0,14
COMM0005792,DCUST003010,DSC004,2022-12-01,SMS,Initial Invite,Not Applicable,Direct,1,0,1
COMM0005793,DCUST003011,DSC004,2023-05-21,SMS,Initial Invite,Not Applicable,Supportive,1,0,1
COMM0005794,DCUST003012,DSC004,2022-10-24,Email,Initial Invite,Not Applicable,Supportive,1,0,1
COMM0005795,DCUST003013,DSC001,2022-10-05,Email,Initial Invite,Not Applicable,Supportive,1,0,2
COMM0005796,DCUST003014,DSC001,2022-11-03,SMS,Initial Invite,Not Applicable,Informational,1,0,1
COMM0005797,DCUST003014,DSC001,2022-11-12,SMS,Reminder 1,Not Applicable,Direct,1,1,10
COMM0005798,DCUST003014,DSC001,2022-11-24,SMS,Reminder 2,Not Applicable,Direct,0,0,22
COMM0005799,DCUST003015,DSC001,2022-06-25,SMS,Initial Invite,Not Applicable,Direct,1,0,0
COMM0005800,DCUST003016,DSC005,2023-03-09,SMS,Initial Invite,Variant,Supportive,0,0,0
COMM0005801,DCUST003016,DSC005,2023-03-15,SMS,Reminder 1,Control,Direct,1,1,6
COMM0005802,DCUST003017,DSC010,2022-06-04,Email,Initial Invite,Not Applicable,Informational,1,1,1
COMM0005803,DCUST003018,DSC005,2023-04-04,SMS,Initial Invite,Not Applicable,Supportive,1,0,1
COMM0005804,DCUST003018,DSC005,2023-04-12,Email,Reminder 1,Not Applicable,Informational,1,0,9
COMM0005805,DCUST003018,DSC005,2023-04-17,Email,Reminder 2,Not Applicable,Informational,1,0,14
COMM0005806,DCUST003019,DSC004,2022-11-12,Email,Initial Invite,Not Applicable,Informational,1,0,2
COMM0005807,DCUST003019,DSC004,2022-11-18,SMS,Reminder 1,Not Applicable,Direct,1,0,8
COMM0005808,DCUST003020,DSC001,2022-11-24,Email,Initial Invite,Not Applicable,Direct,1,0,1
COMM0005809,DCUST003021,DSC007,2022-11-27,SMS,Initial Invite,Not Applicable,Informational,1,0,1
COMM0005810,DCUST003021,DSC007,2022-12-03,SMS,Reminder 1,Not Applicable,Supportive,1,0,7
COMM0005811,DCUST003021,DSC007,2022-12-08,Email,Reminder 2,Not Applicable,Supportive,0,0,12
COMM0005812,DCUST003022,DSC008,2023-03-01,SMS,Initial Invite,Control,Direct,1,1,2
COMM0005813,DCUST003023,DSC001,2023-04-29,SMS,Initial Invite,Not Applicable,Supportive,1,0,0
COMM0005814,DCUST003023,DSC001,2023-05-05,SMS,Reminder 1,Not Applicable,Supportive,1,1,6
COMM0005815,DCUST003023,DSC001,2023-05-16,SMS,Reminder 2,Not Applicable,Informational,1,0,17
COMM0005816,DCUST003023,DSC001,2023-05-27,Letter,Agent Follow-up,Not Applicable,Informational,1,0,28
COMM0005817,DCUST003024,DSC005,2022-06-06,SMS,Initial Invite,Not Applicable,Direct,1,1,0
COMM0005818,DCUST003024,DSC005,2022-06-13,Letter,Reminder 1,Not Applicable,Informational,1,0,7
COMM0005819,DCUST003025,DSC005,2022-12-17,Letter,Initial Invite,Not Applicable,Informational,1,0,2
COMM0005820,DCUST003025,DSC005,2022-12-20,Email,Reminder 1,Not Applicable,Informational,1,0,5
COMM0005821,DCUST003026,DSC008,2023-03-09,Email,Initial Invite,Not Applicable,Supportive,1,0,0
COMM0005822,DCUST003026,DSC008,2023-03-20,SMS,Reminder 1,Control,Direct,1,0,11
COMM0005823,DCUST003027,DSC001,2023-05-24,Email,Initial Invite,Not Applicable,Informational,1,0,1
COMM0005824,DCUST003028,DSC003,2022-11-29,Letter,Initial Invite,Not Applicable,Informational,1,0,2
COMM0005825,DCUST003028,DSC003,2022-12-06,SMS,Reminder 1,Not Applicable,Supportive,1,0,9
COMM0005826,DCUST003029,DSC005,2023-02-22,Email,Initial Invite,Not Applicable,Informational,1,0,2
COMM0005827,DCUST003029,DSC005,2023-03-04,SMS,Reminder 1,Control,Direct,1,1,12
COMM0005828,DCUST003029,DSC005,2023-03-14,Agent Referral,Reminder 2,Not Applicable,Agent-Assisted,1,1,22
COMM0005829,DCUST003030,DSC005,2022-12-28,SMS,Initial Invite,Not Applicable,Direct,1,0,1
COMM0005830,DCUST003031,DSC002,2022-09-24,Letter,Initial Invite,Not Applicable,Informational,1,0,1
COMM0005831,DCUST003031,DSC002,2022-09-30,Email,Reminder 1,Not Applicable,Supportive,1,0,7
COMM0005832,DCUST003032,DSC009,2023-03-14,Email,Initial Invite,Not Applicable,Informational,1,0,2
COMM0005833,DCUST003032,DSC009,2023-03-21,SMS,Reminder 1,Not Applicable,Direct,1,0,9
COMM0005834,DCUST003032,DSC009,2023-04-02,Letter,Reminder 2,Not Applicable,Informational,1,0,21
COMM0005835,DCUST003033,DSC007,2023-05-25,SMS,Initial Invite,Not Applicable,Informational,1,0,1
COMM0005836,DCUST003033,DSC007,2023-05-28,SMS,Reminder 1,Not Applicable,Supportive,1,0,4
COMM0005837,DCUST003034,DSC001,2022-06-03,Email,Initial Invite,Not Applicable,Informational,1,1,0
COMM0005838,DCUST003034,DSC001,2022-06-12,SMS,Reminder 1,Not Applicable,Direct,1,0,9
COMM0005839,DCUST003034,DSC001,2022-06-12,Letter,Reminder 2,Not Applicable,Informational,1,0,9
COMM0005840,DCUST003035,DSC005,2022-06-30,Email,Initial Invite,Not Applicable,Direct,1,0,0
COMM0005841,DCUST003035,DSC005,2022-07-08,Email,Reminder 1,Not Applicable,Supportive,1,0,8
COMM0005842,DCUST003036,DSC003,2022-12-10,SMS,Initial Invite,Not Applicable,Informational,1,0,2
COMM0005843,DCUST003036,DSC003,2022-12-21,SMS,Reminder 1,Not Applicable,Informational,1,1,13
COMM0005844,DCUST003037,DSC005,2023-03-15,SMS,Initial Invite,Not Applicable,Informational,1,0,1
COMM0005845,DCUST003037,DSC005,2023-03-22,SMS,Reminder 1,Not Applicable,Direct,1,0,8
COMM0005846,DCUST003037,DSC005,2023-04-08,Letter,Reminder 2,Not Applicable,Informational,1,0,25
COMM0005847,DCUST003038,DSC005,2023-01-22,SMS,Initial Invite,Not Applicable,Supportive,1,0,1
COMM0005848,DCUST003038,DSC005,2023-01-31,SMS,Reminder 1,Not Applicable,Direct,1,0,10
COMM0005849,DCUST003039,DSC007,2022-09-12,Email,Initial Invite,Not Applicable,Supportive,1,0,1
COMM0005850,DCUST003039,DSC007,2022-09-24,Email,Reminder 1,Not Applicable,Informational,1,0,13
COMM0005851,DCUST003039,DSC007,2022-09-23,SMS,Reminder 2,Not Applicable,Supportive,1,0,12
COMM0005852,DCUST003040,DSC008,2023-03-28,Email,Initial Invite,Not Applicable,Informational,1,1,2
COMM0005853,DCUST003040,DSC008,2023-04-06,SMS,Reminder 1,Not Applicable,Informational,1,0,11
